,Kontengruppe,Profitcenter,Profitcenter-Bezeichnung,Art,HH Art,PSP-Element,Kostenart,Kostenart Beschreibung,Betrag,Betrag_Typ,Jahr
19,Privatrechtliche Leistungsentgelte,106,Gleichstellung,1.0,,,,,"-12.192,00",Ist,2015
20,Personalaufwendungen,106,Gleichstellung,2.0,,,,,"27.971,64",Ist,2015
21,Versorgungsaufwendungen,106,Gleichstellung,2.0,,,,,"1.381,96",Ist,2015
22,Aufwendungen für Sach- und Dienstleistungen,106,Gleichstellung,2.0,,,,,0,Ist,2015
23,sonstige ordentliche Aufwendungen,106,Gleichstellung,2.0,,,,,"17.068,56",Ist,2015
24,Bilanzielle Aufwendungen,106,Gleichstellung,2.0,,,,,"359,09",Ist,2015
25,Privatrechtliche Leistungsentgelte,107,Beschäftigtenvertretung,1.0,,,,,0,Ist,2015
26,Erträge aus internen Leistungsbeziehungen,107,Beschäftigtenvertretung,4.0,,,,,0,Ist,2015
27,Aufwendungen für Sach- und Dienstleistungen,107,Beschäftigtenvertretung,2.0,,,,,670,Ist,2015
28,sonstige ordentliche Aufwendungen,107,Beschäftigtenvertretung,2.0,,,,,"7.819,74",Ist,2015
29,Bilanzielle Aufwendungen,107,Beschäftigtenvertretung,2.0,,,,,0,Ist,2015
30,Zuwendungen und allgemeine Umlagen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",1.0,,,,,"-209.768,29",Ist,2015
31,öffentlich-rechtliche Leistungsentgelte,108,"Liegensch., Steuern,  Zentr. Ausschreib.",1.0,,,,,"-35.705,00",Ist,2015
32,Privatrechtliche Leistungsentgelte,108,"Liegensch., Steuern,  Zentr. Ausschreib.",1.0,,,,,"-2.494.634,00",Ist,2015
33,sonstige ordentliche Erträge,108,"Liegensch., Steuern,  Zentr. Ausschreib.",1.0,,,,,"-76.835,13",Ist,2015
34,Finanzerträge,108,"Liegensch., Steuern,  Zentr. Ausschreib.",3.0,Finanzergebnis,,,,"-528,33",Ist,2015
35,Erträge aus internen Leistungsbeziehungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",4.0,,,,,0,Ist,2015
36,Außerordentliche Erträge,108,"Liegensch., Steuern,  Zentr. Ausschreib.",1.0,,,,,0,Ist,2015
37,Personalaufwendungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",2.0,,,,,"928.252,60",Ist,2015
38,Versorgungsaufwendungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",2.0,,,,,"200.343,99",Ist,2015
39,Aufwendungen für Sach- und Dienstleistungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",2.0,,,,,"2.477.952,29",Ist,2015
40,sonstige ordentliche Aufwendungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",2.0,,,,,"29.723,24",Ist,2015
41,Zinsen und sonstige Finanzaufwendungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",3.0,,,,,"7.136,06",Ist,2015
42,Bilanzielle Aufwendungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",2.0,,,,,"1.463.727,09",Ist,2015
43,Aufwendungen aus internen Leistungsbeziehungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",5.0,Aufwendungen (interne Leistungsbeziehungen),,,,"23.832,58",Ist,2015
44,Außerordentliche Aufwendungen,108,"Liegensch., Steuern,  Zentr. Ausschreib.",2.0,,,,,0,Ist,2015
45,Privatrechtliche Leistungsentgelte,109,Presse und Öffentlichkeitsarbeit,1.0,,,,,"-19.290,00",Ist,2015
46,sonstige ordentliche Erträge,109,Presse und Öffentlichkeitsarbeit,1.0,,,,,0,Ist,2015
47,Erträge aus internen Leistungsbeziehungen,109,Presse und Öffentlichkeitsarbeit,4.0,,,,,-51,Ist,2015
48,Personalaufwendungen,109,Presse und Öffentlichkeitsarbeit,2.0,,,,,"201.668,84",Ist,2015
49,Versorgungsaufwendungen,109,Presse und Öffentlichkeitsarbeit,2.0,,,,,"46.953,99",Ist,2015
50,Aufwendungen für Sach- und Dienstleistungen,109,Presse und Öffentlichkeitsarbeit,2.0,,,,,"232,92",Ist,2015
51,sonstige ordentliche Aufwendungen,109,Presse und Öffentlichkeitsarbeit,2.0,,,,,"6.286,48",Ist,2015
52,Bilanzielle Aufwendungen,109,Presse und Öffentlichkeitsarbeit,2.0,,,,,"491,89",Ist,2015
53,öffentlich-rechtliche Leistungsentgelte,110,Recht und Datenschutz,1.0,,,,,0,Ist,2015
54,Privatrechtliche Leistungsentgelte,110,Recht und Datenschutz,1.0,,,,,"-81.237,98",Ist,2015
55,sonstige ordentliche Erträge,110,Recht und Datenschutz,1.0,,,,,0,Ist,2015
56,Personalaufwendungen,110,Recht und Datenschutz,2.0,,,,,"141.035,70",Ist,2015
57,Versorgungsaufwendungen,110,Recht und Datenschutz,2.0,,,,,"37.466,62",Ist,2015
58,Aufwendungen für Sach- und Dienstleistungen,110,Recht und Datenschutz,2.0,,,,,0,Ist,2015
59,sonstige ordentliche Aufwendungen,110,Recht und Datenschutz,2.0,,,,,"1.214.547,68",Ist,2015
60,Bilanzielle Aufwendungen,110,Recht und Datenschutz,2.0,,,,,0,Ist,2015
61,Zuwendungen und allgemeine Umlagen,203,Gefahrenvorbeugung und - abwehr,1.0,,,,,"-248.314,03",Ist,2015
62,öffentlich-rechtliche Leistungsentgelte,203,Gefahrenvorbeugung und - abwehr,1.0,,,,,"-70.865,50",Ist,2015
63,Privatrechtliche Leistungsentgelte,203,Gefahrenvorbeugung und - abwehr,1.0,,,,,"-154.835,39",Ist,2015
64,sonstige ordentliche Erträge,203,Gefahrenvorbeugung und - abwehr,1.0,,,,,"-7.137,01",Ist,2015
65,Erträge aus internen Leistungsbeziehungen,203,Gefahrenvorbeugung und - abwehr,4.0,,,,,"-15.600,00",Ist,2015
66,Außerordentliche Erträge,203,Gefahrenvorbeugung und - abwehr,1.0,,,,,0,Ist,2015
67,Personalaufwendungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,"5.526.977,76",Ist,2015
68,Versorgungsaufwendungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,"2.983.499,62",Ist,2015
69,Aufwendungen für Sach- und Dienstleistungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,"913.902,47",Ist,2015
70,Transferaufwendungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,"39.844,00",Ist,2015
71,sonstige ordentliche Aufwendungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,"282.172,82",Ist,2015
72,Bilanzielle Aufwendungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,"685.873,07",Ist,2015
73,Aufwendungen aus internen Leistungsbeziehungen,203,Gefahrenvorbeugung und - abwehr,5.0,,,,,0,Ist,2015
74,Außerordentliche Aufwendungen,203,Gefahrenvorbeugung und - abwehr,2.0,,,,,0,Ist,2015
75,Zuwendungen und allgemeine Umlagen,204,Rettungsdienst,1.0,,,,,"-2.958.150,90",Ist,2015
76,öffentlich-rechtliche Leistungsentgelte,204,Rettungsdienst,1.0,,,,,-596,Ist,2015
77,Privatrechtliche Leistungsentgelte,204,Rettungsdienst,1.0,,,,,"-1.007,73",Ist,2015
78,sonstige ordentliche Erträge,204,Rettungsdienst,1.0,,,,,"-2.900,00",Ist,2015
79,Personalaufwendungen,204,Rettungsdienst,2.0,,,,,"2.539.718,34",Ist,2015
80,Versorgungsaufwendungen,204,Rettungsdienst,2.0,,,,,0,Ist,2015
81,Aufwendungen für Sach- und Dienstleistungen,204,Rettungsdienst,2.0,,,,,"286.351,30",Ist,2015
82,sonstige ordentliche Aufwendungen,204,Rettungsdienst,2.0,,,,,"556.714,91",Ist,2015
83,Bilanzielle Aufwendungen,204,Rettungsdienst,2.0,,,,,"105.635,84",Ist,2015
84,Aufwendungen aus internen Leistungsbeziehungen,204,Rettungsdienst,5.0,,,,,"122.515,00",Ist,2015
85,Zuwendungen und allgemeine Umlagen,301,Grundschulen,1.0,,,,,0,Ist,2015
86,öffentlich-rechtliche Leistungsentgelte,301,Grundschulen,1.0,,,,,0,Ist,2015
87,Privatrechtliche Leistungsentgelte,301,Grundschulen,1.0,,,,,0,Ist,2015
88,sonstige ordentliche Erträge,301,Grundschulen,1.0,,,,,0,Ist,2015
89,Erträge aus internen Leistungsbeziehungen,301,Grundschulen,4.0,,,,,0,Ist,2015
90,Personalaufwendungen,301,Grundschulen,2.0,,,,,0,Ist,2015
91,Versorgungsaufwendungen,301,Grundschulen,2.0,,,,,0,Ist,2015
92,Aufwendungen für Sach- und Dienstleistungen,301,Grundschulen,2.0,,,,,0,Ist,2015
93,Transferaufwendungen,301,Grundschulen,2.0,,,,,0,Ist,2015
94,sonstige ordentliche Aufwendungen,301,Grundschulen,2.0,,,,,0,Ist,2015
95,Bilanzielle Aufwendungen,301,Grundschulen,2.0,,,,,0,Ist,2015
96,Aufwendungen aus internen Leistungsbeziehungen,301,Grundschulen,5.0,,,,,0,Ist,2015
97,Zuwendungen und allgemeine Umlagen,302,Hauptschule,1.0,,,,,0,Ist,2015
98,Privatrechtliche Leistungsentgelte,302,Hauptschule,1.0,,,,,0,Ist,2015
99,sonstige ordentliche Erträge,302,Hauptschule,1.0,,,,,0,Ist,2015
100,Erträge aus internen Leistungsbeziehungen,302,Hauptschule,4.0,,,,,0,Ist,2015
101,Personalaufwendungen,302,Hauptschule,2.0,,,,,0,Ist,2015
102,Versorgungsaufwendungen,302,Hauptschule,2.0,,,,,0,Ist,2015
103,Aufwendungen für Sach- und Dienstleistungen,302,Hauptschule,2.0,,,,,0,Ist,2015
104,Transferaufwendungen,302,Hauptschule,2.0,,,,,0,Ist,2015
105,sonstige ordentliche Aufwendungen,302,Hauptschule,2.0,,,,,0,Ist,2015
106,Bilanzielle Aufwendungen,302,Hauptschule,2.0,,,,,0,Ist,2015
107,Aufwendungen aus internen Leistungsbeziehungen,302,Hauptschule,5.0,,,,,0,Ist,2015
108,Zuwendungen und allgemeine Umlagen,303,Realschulen,1.0,,,,,0,Ist,2015
109,Privatrechtliche Leistungsentgelte,303,Realschulen,1.0,,,,,0,Ist,2015
110,sonstige ordentliche Erträge,303,Realschulen,1.0,,,,,0,Ist,2015
111,Erträge aus internen Leistungsbeziehungen,303,Realschulen,4.0,,,,,0,Ist,2015
112,Personalaufwendungen,303,Realschulen,2.0,,,,,0,Ist,2015
113,Versorgungsaufwendungen,303,Realschulen,2.0,,,,,0,Ist,2015
114,Aufwendungen für Sach- und Dienstleistungen,303,Realschulen,2.0,,,,,0,Ist,2015
115,Transferaufwendungen,303,Realschulen,2.0,,,,,0,Ist,2015
116,sonstige ordentliche Aufwendungen,303,Realschulen,2.0,,,,,0,Ist,2015
117,Bilanzielle Aufwendungen,303,Realschulen,2.0,,,,,0,Ist,2015
118,Zuwendungen und allgemeine Umlagen,304,Gymnasien,1.0,,,,,0,Ist,2015
119,öffentlich-rechtliche Leistungsentgelte,304,Gymnasien,1.0,,,,,0,Ist,2015
120,Privatrechtliche Leistungsentgelte,304,Gymnasien,1.0,,,,,0,Ist,2015
121,sonstige ordentliche Erträge,304,Gymnasien,1.0,,,,,0,Ist,2015
122,Erträge aus internen Leistungsbeziehungen,304,Gymnasien,4.0,,,,,0,Ist,2015
123,Personalaufwendungen,304,Gymnasien,2.0,,,,,0,Ist,2015
124,Versorgungsaufwendungen,304,Gymnasien,2.0,,,,,0,Ist,2015
125,Aufwendungen für Sach- und Dienstleistungen,304,Gymnasien,2.0,,,,,0,Ist,2015
126,Transferaufwendungen,304,Gymnasien,2.0,,,,,0,Ist,2015
127,sonstige ordentliche Aufwendungen,304,Gymnasien,2.0,,,,,0,Ist,2015
128,Bilanzielle Aufwendungen,304,Gymnasien,2.0,,,,,0,Ist,2015
129,Aufwendungen aus internen Leistungsbeziehungen,304,Gymnasien,5.0,,,,,0,Ist,2015
130,Zuwendungen und allgemeine Umlagen,305,Gesamtschulen,1.0,,,,,0,Ist,2015
131,öffentlich-rechtliche Leistungsentgelte,305,Gesamtschulen,1.0,,,,,0,Ist,2015
132,Privatrechtliche Leistungsentgelte,305,Gesamtschulen,1.0,,,,,0,Ist,2015
133,sonstige ordentliche Erträge,305,Gesamtschulen,1.0,,,,,0,Ist,2015
134,Erträge aus internen Leistungsbeziehungen,305,Gesamtschulen,4.0,,,,,0,Ist,2015
135,Personalaufwendungen,305,Gesamtschulen,2.0,,,,,0,Ist,2015
136,Versorgungsaufwendungen,305,Gesamtschulen,2.0,,,,,0,Ist,2015
137,Aufwendungen für Sach- und Dienstleistungen,305,Gesamtschulen,2.0,,,,,0,Ist,2015
138,Transferaufwendungen,305,Gesamtschulen,2.0,,,,,0,Ist,2015
139,sonstige ordentliche Aufwendungen,305,Gesamtschulen,2.0,,,,,0,Ist,2015
140,Bilanzielle Aufwendungen,305,Gesamtschulen,2.0,,,,,0,Ist,2015
141,Aufwendungen aus internen Leistungsbeziehungen,305,Gesamtschulen,5.0,,,,,0,Ist,2015
142,Zuwendungen und allgemeine Umlagen,306,Förderschule,1.0,,,,,0,Ist,2015
143,Privatrechtliche Leistungsentgelte,306,Förderschule,1.0,,,,,0,Ist,2015
144,sonstige ordentliche Erträge,306,Förderschule,1.0,,,,,0,Ist,2015
145,Erträge aus internen Leistungsbeziehungen,306,Förderschule,4.0,,,,,0,Ist,2015
146,Personalaufwendungen,306,Förderschule,2.0,,,,,0,Ist,2015
147,Versorgungsaufwendungen,306,Förderschule,2.0,,,,,0,Ist,2015
148,Aufwendungen für Sach- und Dienstleistungen,306,Förderschule,2.0,,,,,0,Ist,2015
149,sonstige ordentliche Aufwendungen,306,Förderschule,2.0,,,,,0,Ist,2015
150,Bilanzielle Aufwendungen,306,Förderschule,2.0,,,,,0,Ist,2015
151,Zuwendungen und allgemeine Umlagen,307,Schülerbeförderungskosten,1.0,,,,,"-54.022,56",Ist,2015
152,Privatrechtliche Leistungsentgelte,307,Schülerbeförderungskosten,1.0,,,,,"-3.352,71",Ist,2015
153,sonstige ordentliche Erträge,307,Schülerbeförderungskosten,1.0,,,,,"-2.420,00",Ist,2015
154,Personalaufwendungen,307,Schülerbeförderungskosten,2.0,,,,,"122.347,85",Ist,2015
155,Versorgungsaufwendungen,307,Schülerbeförderungskosten,2.0,,,,,"29.686,46",Ist,2015
156,Aufwendungen für Sach- und Dienstleistungen,307,Schülerbeförderungskosten,2.0,,,,,"1.847.783,95",Ist,2015
157,sonstige ordentliche Aufwendungen,307,Schülerbeförderungskosten,2.0,,,,,"223,12",Ist,2015
158,Bilanzielle Aufwendungen,307,Schülerbeförderungskosten,2.0,,,,,0,Ist,2015
159,Zuwendungen und allgemeine Umlagen,308,Zentrale Steuerung,1.0,,,,,"-26.580,04",Ist,2015
160,sonstige Transfererträge,308,Zentrale Steuerung,1.0,,,,,0,Ist,2015
161,Privatrechtliche Leistungsentgelte,308,Zentrale Steuerung,1.0,,,,,0,Ist,2015
162,sonstige ordentliche Erträge,308,Zentrale Steuerung,1.0,,,,,0,Ist,2015
163,Aktivierte Eigenleistungen,308,Zentrale Steuerung,1.0,,,,,0,Ist,2015
164,Personalaufwendungen,308,Zentrale Steuerung,2.0,,,,,"217.574,07",Ist,2015
165,Versorgungsaufwendungen,308,Zentrale Steuerung,2.0,,,,,"43.279,15",Ist,2015
166,Aufwendungen für Sach- und Dienstleistungen,308,Zentrale Steuerung,2.0,,,,,"41.928,15",Ist,2015
167,Transferaufwendungen,308,Zentrale Steuerung,2.0,,,,,"109.710,88",Ist,2015
168,sonstige ordentliche Aufwendungen,308,Zentrale Steuerung,2.0,,,,,"63.508,03",Ist,2015
169,Bilanzielle Aufwendungen,308,Zentrale Steuerung,2.0,,,,,"4.098,33",Ist,2015
170,Aufwendungen aus internen Leistungsbeziehungen,308,Zentrale Steuerung,5.0,,,,,0,Ist,2015
171,Privatrechtliche Leistungsentgelte,401,Moers Kultur GmbH,1.0,,,,,0,Ist,2015
172,sonstige ordentliche Erträge,401,Moers Kultur GmbH,1.0,,,,,"-9.874,97",Ist,2015
173,Aufwendungen für Sach- und Dienstleistungen,401,Moers Kultur GmbH,2.0,,,,,0,Ist,2015
174,Transferaufwendungen,401,Moers Kultur GmbH,2.0,,,,,"1.869.715,40",Ist,2015
175,Bilanzielle Aufwendungen,401,Moers Kultur GmbH,2.0,,,,,0,Ist,2015
176,Zuwendungen und allgemeine Umlagen,402,Eigenbetrieb Bildung,1.0,,,,,0,Ist,2015
177,sonstige ordentliche Erträge,402,Eigenbetrieb Bildung,1.0,,,,,"-0,14",Ist,2015
178,Aufwendungen für Sach- und Dienstleistungen,402,Eigenbetrieb Bildung,2.0,,,,,0,Ist,2015
179,Transferaufwendungen,402,Eigenbetrieb Bildung,2.0,,,,,"7.150.000,00",Ist,2015
180,sonstige ordentliche Aufwendungen,402,Eigenbetrieb Bildung,2.0,,,,,0,Ist,2015
181,Bilanzielle Aufwendungen,402,Eigenbetrieb Bildung,2.0,,,,,0,Ist,2015
182,Zuwendungen und allgemeine Umlagen,403,Kulturbüro,1.0,,,,,0,Ist,2015
183,Privatrechtliche Leistungsentgelte,403,Kulturbüro,1.0,,,,,"-21.452,41",Ist,2015
184,Personalaufwendungen,403,Kulturbüro,2.0,,,,,"109.183,79",Ist,2015
185,Aufwendungen für Sach- und Dienstleistungen,403,Kulturbüro,2.0,,,,,"19.126,05",Ist,2015
186,Transferaufwendungen,403,Kulturbüro,2.0,,,,,"55.426,94",Ist,2015
187,sonstige ordentliche Aufwendungen,403,Kulturbüro,2.0,,,,,"21.857,39",Ist,2015
188,Bilanzielle Aufwendungen,403,Kulturbüro,2.0,,,,,"314,38",Ist,2015
189,Aufwendungen aus internen Leistungsbeziehungen,403,Kulturbüro,5.0,,,,,0,Ist,2015
190,,,,,,1.100.05.02,41410000.0,Zuw.u.Zusch.für lfd.Zwecke vom Land,"-73.301,97",Ist,2015
191,,,,,,,41611000.0,ET SoPO-Aufl. aus Zuw. Land,0,Ist,2015
192,,,,,,1.100.05.02,41611000.0,ET SoPO-Aufl. aus Zuw. Land,0,Ist,2015
193,Zuwendungen und allgemeine Umlagen,502,Leistungen für Asylbewerber,1.0,,,,,"-73.301,97",Ist,2015
194,,,,,,1.100.05.02,42110001.0,Kostenbeiträge a.v.E,"-818,28",Ist,2015
195,,,,,,1.100.05.02,42110008.0,Erstattung Sozialleistungsträger,0,Ist,2015
196,,,,,,1.100.05.02,42110009.0,Rückzahlung gewährter Hilfen,"-42.509,76",Ist,2015
197,sonstige Transfererträge,502,Leistungen für Asylbewerber,1.0,,,,,"-43.328,04",Ist,2015
198,,,,,,1.100.05.02,44810003.0,Erstattung FlüAG Land,"-4.487.967,38",Ist,2015
199,,,,,,1.100.05.02,44810004.0,Erstattung Notunterkünfte Land,"-2.536.196,13",Ist,2015
200,,,,,,1.100.05.02,44910000.0,Leist-beteil. Grunds,0,Ist,2015
201,Privatrechtliche Leistungsentgelte,502,Leistungen für Asylbewerber,1.0,,,,,"-7.024.163,51",Ist,2015
202,,,,,,1.100.05.02,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Ist,2015
203,,,,,,1.100.05.02,45829001.0,Erträge aus der Auflösung RS Prozesskost,"-3.800,00",Ist,2015
204,sonstige ordentliche Erträge,502,Leistungen für Asylbewerber,1.0,,,,,"-3.800,00",Ist,2015
205,,,,,,1.100.05.02,50110000.0,Bezüge Beamte,"125.500,82",Ist,2015
206,,,,,,1.100.05.02,50120000.0,Vergütungen tariflich Beschäftigte,"30.295,67",Ist,2015
207,,,,,,1.100.05.02,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"2.377,51",Ist,2015
208,,,,,,1.100.05.02,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"6.104,82",Ist,2015
209,,,,,,1.100.05.02,50410000.0,Beihilfen und Unterstützungsleistungen f,"7.575,04",Ist,2015
210,,,,,,1.100.05.02,50411000.0,Beihilf. u.a.taBesch,"6,04",Ist,2015
211,,,,,,1.100.05.02,50510000.0,Rückstellungen für Pensionsverpflichtung,"47.597,21",Ist,2015
212,,,,,,1.100.05.02,50610000.0,Rückstellungen für Beihilfen,"16.106,71",Ist,2015
213,,,,,,1.100.05.02,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,0,Ist,2015
214,,,,,,1.100.05.02,50811000.0,RS Urlaub Beamte,"-42,68",Ist,2015
215,,,,,,1.100.05.02,50812000.0,RS Urlaub tarifl. Beschäftigte,"856,44",Ist,2015
216,,,,,,1.100.05.02,50813000.0,RS Überstunden Beamte,"3.903,41",Ist,2015
217,,,,,,1.100.05.02,50814000.0,RS Überstunden tarifl.Beschäftigte,"1.104,64",Ist,2015
218,,,,,,1.100.05.02,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Ist,2015
219,Personalaufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"241.385,63",Ist,2015
220,,,,,,1.100.05.02,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"668,95",Ist,2015
221,,,,,,1.100.05.02,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger",0,Ist,2015
222,,,,,,1.100.05.02,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"55.209,11",Ist,2015
223,,,,,,1.100.05.02,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"18.763,84",Ist,2015
224,,,,,,1.100.05.02,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Ist,2015
225,Versorgungsaufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"74.641,90",Ist,2015
226,,,,,,1.100.05.02,52550000.0,Unterhaltung des so. bewegl. Vermögens,0,Ist,2015
227,,,,,,1.100.05.02,52550013.0,Erwerb Vermögensgegenstände < 410 Euro,0,Ist,2015
228,Aufwendungen für Sach- und Dienstleistungen,502,Leistungen für Asylbewerber,2.0,,,,,0,Ist,2015
229,,,,,,1.100.05.02,53180058.0,Koordinierunsstelle Asyl,"24.073,78",Ist,2015
230,,,,,,1.100.05.02,53310001.0,Hilfe zum Lebensunterhalt,"733.520,97",Ist,2015
231,,,,,,1.100.05.02,53310003.0,Krankenhilfe,"137.954,03",Ist,2015
232,,,,,,1.100.05.02,53310004.0,Grundleistungen §3 AsylBLG,"6.592.695,26",Ist,2015
233,,,,,,1.100.05.02,53310005.0,Leistungen §4 AsylBLG,"752.730,63",Ist,2015
234,,,,,,1.100.05.02,53310006.0,Sonstige Leistungen §6 AsylBLG,"137.645,37",Ist,2015
235,,,,,,1.100.05.02,53390002.0,Hilfeleistung Flüchtlinge,"74.940,00",Ist,2015
236,,,,,,1.100.05.02,53390003.0,Hilfe zum Lebensunterhalt,0,Ist,2015
237,,,,,,1.100.05.02,53390004.0,Krankenhilfe,0,Ist,2015
238,,,,,,1.100.05.02,53390005.0,Grundleistungen § 3 AsylBLG,0,Ist,2015
239,,,,,,1.100.05.02,53390006.0,Leistungen § 4 AsylBLG,0,Ist,2015
240,,,,,,1.100.05.02,53390007.0,Sonstige Leistungen § 6 AsylBLG,0,Ist,2015
241,Transferaufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"8.453.560,04",Ist,2015
242,,,,,,1.100.05.02,54111000.0,Fahrtkostenerstattung Beamte,"123,84",Ist,2015
243,,,,,,1.100.05.02,54130000.0,Aus- und Fortbildung,138,Ist,2015
244,,,,,,1.100.05.02,54220012.0,Wohnungsmiete,"199.276,55",Ist,2015
245,,,,,,1.100.05.02,54291000.0,Prozesskosten,0,Ist,2015
246,,,,,,1.100.05.02,54294000.0,Verwaltungskostenbeitrag RVK,"539,21",Ist,2015
247,,,,,,1.100.05.02,54310000.0,Büromaterial,"413,57",Ist,2015
248,,,,,,1.100.05.02,54311000.0,Telekommunikation,"1.803,54",Ist,2015
249,,,,,,1.100.05.02,54311200.0,Zeitungen/Fachliteratur,"321,22",Ist,2015
250,,,,,,1.100.05.02,54311500.0,Porto,"4.398,48",Ist,2015
251,,,,,,,54710000.0,Wertveränderungen bei Sachanlagen,0,Ist,2015
252,,,,,,1.100.05.02,54710000.0,Wertveränderungen bei Sachanlagen,0,Ist,2015
253,,,,,,,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Ist,2015
254,,,,,,1.100.05.02,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Ist,2015
255,sonstige ordentliche Aufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"207.014,41",Ist,2015
256,,,,,,,57113000.0,AfA auf Gebäude,0,Ist,2015
257,,,,,,1.100.05.02,57113000.0,AfA auf Gebäude,0,Ist,2015
258,,,,,,,57117000.0,AfA auf Betriebs- und Geschäftsausst.,0,Ist,2015
259,,,,,,1.100.05.02,57117000.0,AfA auf Betriebs- und Geschäftsausst.,"544,14",Ist,2015
260,,,,,,1.100.05.02,57117001.0,Afa auf Betriebs- und Geschäftsaust. EÖB,0,Ist,2015
261,Bilanzielle Aufwendungen,502,Leistungen für Asylbewerber,2.0,,,,,"544,14",Ist,2015
262,,,,,,,41611000.0,ET SoPO-Aufl. aus Zuw. Land,0,Ist,2015
263,,,,,,1.100.05.03,41611000.0,ET SoPO-Aufl. aus Zuw. Land,"-24.187,52",Ist,2015
264,,,,,,,41611001.0,Ertr.SoPo-Aufl. Land,0,Ist,2015
265,,,,,,1.100.05.03,41611001.0,Ertr.SoPo-Aufl. Land,0,Ist,2015
